Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Актеры,Продолжительность,Рейтинг,Количество Оценок
1+1,Intouchables,https://www.kinopoisk.ru/film/535341/,Оливье Накаш,Франция,2011,драма,"Франсуа Клюзе, Омар Си",112.0,8.8,2 115K
Джентльмены,The Gentlemen,https://www.kinopoisk.ru/film/1143242/,Гай Ричи,США,2019,криминал,"Мэттью Макконахи, Чарли Ханнэм",113.0,8.6,1 809K
Волк с Уолл-стрит,The Wolf of Wall Street,https://www.kinopoisk.ru/film/462682/,Мартин Скорсезе,США,2013,драма,"Леонардо ДиКаприо, Джона Хилл",180.0,8.0,1 389K
Брат,,https://www.kinopoisk.ru/film/41519/,Алексей Балабанов,Россия,1997,драма,"Сергей Бодров мл., Виктор Сухоруков",100.0,8.3,1 388K
Гнев человеческий,Wrath of Man,https://www.kinopoisk.ru/film/1318972/,Гай Ричи,Великобритания,2021,боевик,"Джейсон Стэйтем, Холт Маккэллани",119.0,7.6,1 327K
Один дома,Home Alone,https://www.kinopoisk.ru/film/8124/,Крис Коламбус,США,1990,комедия,"Маколей Калкин, Джо Пеши",103.0,8.3,1 183K
По щучьему велению,,https://www.kinopoisk.ru/film/4959134/,Александр Войтинский,Россия,2023,фэнтези,"Никита Кологривый, Мила Ершова",115.0,7.8,1 121K
Достать ножи,Knives Out,https://www.kinopoisk.ru/film/1188529/,Райан Джонсон,США,2019,детектив,"Дэниэл Крэйг, Ана де Армас",130.0,8.1,1 097K
Аватар,Avatar,https://www.kinopoisk.ru/film/251733/,Джеймс Кэмерон,США,2009,фантастика,"Сэм Уортингтон, Зои Салдана",162.0,8.0,1 087K
Зеленая книга,Green Book,https://www.kinopoisk.ru/film/1108577/,Питер Фаррелли,США,2018,биография,"Вигго Мортенсен, Махершала Али",130.0,8.5,1 074K
Холоп 2,,https://www.kinopoisk.ru/film/5047468/,Клим Шипенко,Россия,2023,комедия,"Аглая Тарасова, Милош Бикович",119.0,7.1,1 065K
Брат 2,,https://www.kinopoisk.ru/film/41520/,Алексей Балабанов,Россия,2000,боевик,"Сергей Бодров мл., Виктор Сухоруков",127.0,8.2,1 056K
Иван Васильевич меняет профессию,,https://www.kinopoisk.ru/film/42664/,Леонид Гайдай,СССР,1973,комедия,"Александр Демьяненко, Юрий Яковлев",88.0,8.8,1 053K
Бойцовский клуб,Fight Club,https://www.kinopoisk.ru/film/361/,Дэвид Финчер,США,1999,триллер,"Эдвард Нортон, Брэд Питт",139.0,8.7,1 051K
Зверополис,Zootopia,https://www.kinopoisk.ru/film/775276/,Байрон Ховард,США,2016,мультфильм,"Джиннифер Гудвин, Джейсон Бейтман",108.0,8.3,1 028K
Побег из Шоушенка,The Shawshank Redemption,https://www.kinopoisk.ru/film/326/,Фрэнк Дарабонт,США,1994,драма,"Тим Роббинс, Морган Фриман",142.0,9.1,1 025K
Остров проклятых,Shutter Island,https://www.kinopoisk.ru/film/397667/,Мартин Скорсезе,США,2009,триллер,"Леонардо ДиКаприо, Марк Руффало",138.0,8.5,999 429
Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,https://www.kinopoisk.ru/film/689/,Крис Коламбус,Великобритания,2001,фэнтези,"Дэниэл Рэдклифф, Руперт Гринт",152.0,8.3,992 056
Зеленая миля,The Green Mile,https://www.kinopoisk.ru/film/435/,Фрэнк Дарабонт,США,1999,драма,"Том Хэнкс, Дэвид Морс",189.0,9.1,988 485
