Название фильма,Название фильма на анг,Ссылка,Режиссер,Страна,Год выпуска,Жанры,Продолжительность,Рейтинг,Количество Оценок,Актер 1,Актер 2,Оскар у режиссера,Оскар у актеров
1+1,Intouchables,https://www.kinopoisk.ru/film/535341/,Оливье Накаш,Франция,2011,драма,112.0,8.8,2115000,Франсуа Клюзе,Омар Си,0,0
Джентльмены,The Gentlemen,https://www.kinopoisk.ru/film/1143242/,Гай Ричи,США,2019,криминал,113.0,8.6,1809000,Мэттью Макконахи,Чарли Ханнэм,0,1
Волк с Уолл-стрит,The Wolf of Wall Street,https://www.kinopoisk.ru/film/462682/,Мартин Скорсезе,США,2013,драма,180.0,8.0,1389000,Леонардо ДиКаприо,Джона Хилл,10,5
Брат,,https://www.kinopoisk.ru/film/41519/,Алексей Балабанов,Россия,1997,драма,100.0,8.3,1388000,Сергей Бодров мл.,Виктор Сухоруков,0,0
Гнев человеческий,Wrath of Man,https://www.kinopoisk.ru/film/1318972/,Гай Ричи,Великобритания,2021,боевик,119.0,7.6,1327000,Джейсон Стэйтем,Холт Маккэллани,0,0
Один дома,Home Alone,https://www.kinopoisk.ru/film/8124/,Крис Коламбус,США,1990,комедия,103.0,8.3,1183000,Маколей Калкин,Джо Пеши,0,0
По щучьему велению,,https://www.kinopoisk.ru/film/4959134/,Александр Войтинский,Россия,2023,фэнтези,115.0,7.8,1121000,Никита Кологривый,Мила Ершова,0,0
Достать ножи,Knives Out,https://www.kinopoisk.ru/film/1188529/,Райан Джонсон,США,2019,детектив,130.0,8.1,1097000,Дэниэл Крэйг,Ана де Армас,0,0
Аватар,Avatar,https://www.kinopoisk.ru/film/251733/,Джеймс Кэмерон,США,2009,фантастика,162.0,8.0,1087000,Сэм Уортингтон,Зои Салдана,2,0
Зеленая книга,Green Book,https://www.kinopoisk.ru/film/1108577/,Питер Фаррелли,США,2018,биография,130.0,8.5,1074000,Вигго Мортенсен,Махершала Али,0,3
Холоп 2,,https://www.kinopoisk.ru/film/5047468/,Клим Шипенко,Россия,2023,комедия,119.0,7.1,1065000,Аглая Тарасова,Милош Бикович,0,0
Брат 2,,https://www.kinopoisk.ru/film/41520/,Алексей Балабанов,Россия,2000,боевик,127.0,8.2,1056000,Сергей Бодров мл.,Виктор Сухоруков,0,0
Иван Васильевич меняет профессию,,https://www.kinopoisk.ru/film/42664/,Леонид Гайдай,СССР,1973,комедия,88.0,8.8,1053000,Александр Демьяненко,Юрий Яковлев,0,0
Бойцовский клуб,Fight Club,https://www.kinopoisk.ru/film/361/,Дэвид Финчер,США,1999,триллер,139.0,8.7,1051000,Эдвард Нортон,Брэд Питт,3,3
Зверополис,Zootopia,https://www.kinopoisk.ru/film/775276/,Байрон Ховард,США,2016,мультфильм,108.0,8.3,1028000,Джиннифер Гудвин,Джейсон Бейтман,0,0
Побег из Шоушенка,The Shawshank Redemption,https://www.kinopoisk.ru/film/326/,Фрэнк Дарабонт,США,1994,драма,142.0,9.1,1025000,Тим Роббинс,Морган Фриман,0,0
Остров проклятых,Shutter Island,https://www.kinopoisk.ru/film/397667/,Мартин Скорсезе,США,2009,триллер,138.0,8.5,999429,Леонардо ДиКаприо,Марк Руффало,10,5
Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,https://www.kinopoisk.ru/film/689/,Крис Коламбус,Великобритания,2001,фэнтези,152.0,8.3,992056,Дэниэл Рэдклифф,Руперт Гринт,0,0
Зеленая миля,The Green Mile,https://www.kinopoisk.ru/film/435/,Фрэнк Дарабонт,США,1999,драма,189.0,9.1,988485,Том Хэнкс,Дэвид Морс,0,5
Начало,Inception,https://www.kinopoisk.ru/film/447301/,Кристофер Нолан,США,2010,фантастика,148.0,8.7,983607,Леонардо ДиКаприо,Джозеф Гордон-Левитт,2,5
Операция «Ы» и другие приключения Шурика,,https://www.kinopoisk.ru/film/42782/,Леонид Гайдай,СССР,1965,комедия,95.0,8.7,978964,Александр Демьяненко,Наталья Селезнёва,0,0
Любовь и голуби,,https://www.kinopoisk.ru/film/45146/,Владимир Меньшов,СССР,1984,мелодрама,107.0,8.3,978521,Александр Михайлов,Нина Дорошина,0,0
Интерстеллар,Interstellar,https://www.kinopoisk.ru/film/258687/,Кристофер Нолан,США,2014,фантастика,169.0,8.6,973277,Мэттью Макконахи,Энн Хэтэуэй,2,2
Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,https://www.kinopoisk.ru/film/4374/,Гор Вербински,США,2003,фэнтези,143.0,8.4,971900,Джонни Депп,Джеффри Раш,0,5
